Count,Code,Description,Retail,Date,Cost,Supplier,Book,Total,Category,,,,,,,,
1,,1402A,,,,,$0.01,$0.01,1,,,,,,,,
5,,2N2222A NPN 40V .8A,,,,,$0.77,$3.85,1,,,,,,,,
,,,,,,,$0.00,$0.00,1,,,,,,,,
58,,2N4403 PNP 40V .6A,,,,,$0.20,$11.60,1,,,,,,,,
1,,MPSA42L,,9/09/2020,$10.00,P Perreaux,$0.00,$0.00,1,,,,,,,,
13,,2N6714 NPN 30V 1A,,,,,$0.20,$2.60,1,,,,,,,,
2,,2N6725 NPN Darl 60V 1A,,,,,$0.30,$0.60,1,,,,,,,,
7,,2SA673 PNP 35V .5A,,,,,$0.20,$1.40,1,,,,,,,,
7,,2SA1145 (mate for 2SC2705),$0.50,15/05/2017,$0.08,eBay,$0.00,$0.00,1,,,,,,,,
7,,2SC2705 (mate for 2SA1145),$0.50,15/05/2017,$0.08,eBay,$0.00,$0.00,1,,,,,,,,
9,,2SB544 PNP 25V 1A,,,,,$0.78,$7.02,1,,,,,,,,
2,,2SC1317 NPN 30V .5A,,,,,$0.05,$0.10,1,,,,,,,,
1,,2SC1335 NPN 30V .1A,,,,,$0.05,$0.05,1,,,,,,,,
1,,2SC1342 NPN 30V .03A,,,,,$0.05,$0.05,1,,,,,,,,
7,,2SC1906 NPN 30V .05A,,,,,$0.05,$0.35,1,,,,,,,,
47,,2SC371 NPN 35V .1A,,,,,$0.05,$2.35,1,,,,,,,,
"1,000",,2SC386A NPN 20V .02A,,,,,$0.00,$0.00,1,,,,,,,,
2,,2SC454 NPN 30V .1A,,,,,$0.05,$0.10,1,,,,,,,,
100,,2SC2240 NPN 120V .1A (mate for 2SA970),$1.80,22/08/2016,$0.05,eBay,$0.00,$0.00,1,,,,,,,,
98,,W1P NPN 40V 600mA surface mount SOT23 (PMBT2222A),$0.40,8/11/2018,$0.08,eBay,$0.00,$0.00,1,,,,,,,,
3,,2SC710 NPN 30V .03A,,,,,$0.05,$0.15,1,,,,,,,,
1,,2SC828 NPN 30V .05A,,,,,$0.05,$0.05,1,,,,,,,,
1,,2SC983 NPN 250V .05A,,,,,$2.25,$2.25,1,,,,,,,,
2,,2SD400 NPN 25V 1A,,,,,$0.76,$1.52,1,,,,,,,,
100,,MPSA42 ,,11/09/2020,$0.04,eBay,$0.01,$1.00,1,,,,,,,,
,,,,,,,$0.00,$0.00,1,,,,,,,,
28,,3N201 DG MOSFET,,,,,$0.01,$0.28,1,,,,,,,,
37,,KTC3200-BL NPN 120V 100mA low noise audio,,2/09/2015,$0.40,eBay,$0.00,$0.00,1,,,,,,,,
10,,9604,,,,,$0.01,$0.10,1,,,,,,,,
45,,2SA970 PNP 120V 100mA (mate for 2SC2240),$2.00,22/08/2016,$0.05,eBay,$0.00,$0.00,1,,,,,,,,
9,,2SC1740 NPN 50V 150mA,$1.20,30/09/2015,$0.27,eBay,$0.00,$0.00,1,,,,,,,,
,,,,,,,$0.00,$0.00,1,,,,,,,,
,,,,,,,$0.00,$0.00,1,,,,,,,,
1,,AY1114,,,,,$0.01,$0.01,1,,,,,,,,
1,,AY1120,,,,,$0.01,$0.01,1,,,,,,,,
1,,AY6109,,,,,$0.01,$0.01,1,,,,,,,,
2,,BC107 NPN 50V .1A,,,,,$0.05,$0.10,1,,,,,,,,
3,,BC108B NPN 30V .1A,,,,,$0.05,$0.15,1,,,,,,,,
,,,,,,,$0.00,$0.00,1,,,,,,,,
0,,BC157 PNP 50V .1A,,,,,$0.05,$0.00,1,,,,,,,,
2,,BC177 PNP 45V .1A,,,,,$0.05,$0.10,1,,,,,,,,
2,,BC207B NPN 45V .1A,,,,,$0.05,$0.10,1,,,,,,,,
8,,BC238B&C NPN 30V .1A,,,,,$0.05,$0.40,1,,,,,,,,
17,,BC318B NPN 40V .15A,,,,,$0.05,$0.85,1,,,,,,,,
1,,BC321 PNP 40V .15A,,,,,$0.05,$0.05,1,,,,,,,,
46,,BC327 PNP 50V .8A,$0.20,7/12/2016,$0.04,eBay,$0.00,$0.00,1,,,,,,,,
187,,BC337 NPN 50V .5A,$0.20,19/11/2015,$0.02,eBay,$0.00,$0.00,1,,,,,,,,
428,,BC547B NPN 45V .1A,,,$0.05,Henlynn,$0.01,$4.28,1,,,,,,,,
8,,BC550B NPN 50V .1A,,,$0.05,,$0.01,$0.08,1,,,,,,,,
703,,BC557 PNP 45V .1A,,,$0.05,,$0.01,$7.03,1,,,,,,,,
11,,BC558B NPN 30V .1A,,,$0.05,,$0.01,$0.11,1,,,,,,,,
2,,BC559B PNP 30V .1A,,,,,$0.05,$0.10,1,,,,,,,,
,,,,,,,$0.00,$0.00,1,,,,,,,,
2,,BC639 NPN 100V 1A,,,,KJP,$0.35,$0.70,1,,,,,,,,
5,,BC640 PNP 80V 1A,,,,T/T,$0.95,$4.75,1,,,,,,,,
3,,BF197 NPN 40V .025A,,,,,$0.10,$0.30,1,,,,,,,,
1,,BF199 NPN 40V .025A,,,,,$0.10,$0.10,1,,,,,,,,
45,,BC546B NPN 65V .1A,$0.25,21/07/2015,$0.05,eBay,$0.00,$0.00,1,,,,,,,,
3,,BF392 NPN 250V .5A,,,,,$0.10,$0.30,1,,,,,,,,
16,,BF422 NPN 250V .2A,,,,,$0.30,$4.80,1,,,,,,,,
8,,BF423 PNP 250V .2A,,,,,$0.30,$2.40,1,,,,,,,,
15,,BR101 NPN 90V 5A RF,,,,,$0.50,$7.50,1,,,,,,,,
11,,BSX21 NPN 120V .05A,,,,,$0.50,$5.50,1,,,,,,,,
41,,MPSA43 NPN 200V .5A,,,$0.30,,$0.01,$0.41,1,,,,,,,,
1,,MS9468,,,,,$0.01,$0.01,1,,,,,,,,
46,,PN3567 NPN 80V 1A,,,$0.30,,$0.01,$0.46,1,,,,,,,,
19,,PN3638A PNP 25V 1A RF,,,$0.30,,$0.01,$0.19,1,,,,,,,,
12,,PU01,,,,,$0.01,$0.12,1,,,,,,,,
6,,RJP30H1 transistor Silicon N-Ch IGBT hi-speed power switching 360V 30A,$2.00,,$0.40,eBay,$0.00,$0.00,2,,,,,,,,
5,,2N3725 NPN 80V .5A,,,,,$1.90,$9.50,2,,,,,,,,
6,,2N5643 NPN 65V 5A power RF Motorola,$18.00,,$13.00,,$3.00,$18.00,2,,,,,,,,
0,,2N6107 PNP 80V 7A,,,,,$0.73,$0.00,2,,,,,,,,
72,,2N6292 NPN 80V 7A (in second brown drawer),,,$1.00,Arrow,$0.05,$3.60,2,,,,,,,,
,,,,,,,$0.00,$0.00,2,,,,,,,,
1,,2SA1360 PNP 150V .05A NAD,,,,Hi Fi,$3.42,$3.42,2,,,,,,,,
2,,2SB546A PNP 200V 2A,,,,T/T,$3.55,$7.10,2,,,,,,,,
,,,,,,,$0.00,$0.00,2,,,,,,,,
56,,2SB646 PNP 120V .1A,,,,,$0.38,$21.28,2,,,,,,,,
102,,2SB646 PNP 120V .1A,,,,C&I,$0.10,$10.20,2,,,,,,,,
0,,2SB649A PNP 180V 1.5A,,,,T/T,$2.75,$0.00,2,,,,,,,,
,,,,,,,$0.00,$0.00,2,,,,,,,,
13,,2SC1447 NPN 300V .15A,,,,,$1.00,$13.00,2,,,,,,,,
17,,BD433 NPN 22V 4A audio,,,,,$0.01,$0.17,2,,,,,,,,
7,,2SD1138 NPN 150V 2A (pair with 2SB861),$4.50,21/07/2015,$1.05,eBay,$0.00,$0.00,2,,,,,,,,
3,,BD679 NPN Darlington + diode 80V 4A,,,$2.29,T/T,$2.29,$6.87,2,,,,,,,,
3,,BUZ901P mosfet n-ch,,27/05/2011,$16.00,Element14,$1.00,$3.00,2,,,,,,,,
2,,2SD1047 NPN 160V 12A NAD,,,$6.90,TDON,$1.00,$2.00,2,,,,,,,,
2,,MJE15030G NPN 150V 8A,,23/09/2020,$2.65,RS,$2.65,$5.30,2,,,,,,,,
2,,MJE15031G PNP 150V 8A,,23/09/2020,$2.65,RS,$2.65,$5.30,2,,,,,,,,
6,,2SD669A NPN 180V 1.5A,,,,T/T,$0.74,$4.44,2,,,,,,,,
4,,FQPF9N50CF MOSFET,$5.00,20/11/2020,$3.26,RS,$3.26,$13.04,2,,,,,,,,
,,,,,,,$0.00,$0.00,2,,,,,,,,
5,,BD131 NPN 70V 3A,,,,,$1.96,$9.80,2,,,,,,,,
55,,BD139 NPN 80V 1.5A,$1.00,,$0.38,Henlynn,$0.01,$0.55,2,,,,,,,,
67,,BD140 PNP 80V 1A,,,$0.40,Henlynn,$0.01,$0.67,2,,,,,,,,
10,,MJE243 NPN 100V 4A TO-126,$2.40,21/02/2018,$0.61,eBay,$0.00,$0.00,2,,,,,,,,
10,,MJE253 PNP 100V 4A TO-126,$2.10,21/02/2018,$0.52,eBay,$0.00,$0.00,2,,,,,,,,
1,,BD711 NPN 100V 12A,,,,D/S,$2.98,$2.98,2,,,,,,,,
1,,"HARRIS RFP40N10 TO-220 40A 100V, N channel",$8.00,13/08/2012,$4.00,eBay u-barn,$0.00,$0.00,2,,,,,,,,
1,,BDX34C PNP 100V 10A,,,,,$3.18,$3.18,2,,,,,,,,
1,,BFT43 NPN 125A 1A 50MHz,,,,TESA,$0.50,$0.50,2,,,,,,,,
6,,BFW16A NPN 40V .3A 1200MHz,,,$4.50,,$1.00,$6.00,2,,,,,,,,
2,,BLY97 NPN 66V 3A 175MHz,,,$8.50,,$1.00,$2.00,2,,,,,,,,
2,,2SC3298 NPN 160V 1.5A,,9/10/2003,$3.30,T/T,$3.30,$6.60,2,,,,,,,,
1,,BUK444 MOS-N-FET 800V 1.5A,,,$11.09,T/T,$1.00,$1.00,2,,,,,,,,
77,,BUX84 NPN 800V 2A,,,,C&I,$0.10,$7.70,2,,,,,,,,
10,,TIP122 NPN 100V 5A Darlington,$1.50,27/11/2015,$0.22,eBay,$0.00,$0.00,2,,,,,,,,
2,,2SA1306 PNP 160V 1.5A,,9/10/2003,$4.40,,$4.40,$8.80,2,,,,,,,,
8,,NSD106 NPN 140V 1A,,,$2.06,,$0.05,$0.40,2,,,,,,,,
21,,RCA1C12 NPN 140V 4A,$2.50,,$0.99,,$0.05,$1.05,2,,,,,,,,
28,,RCA1C13 PNP 140V 4A,$2.50,,$0.99,,$0.05,$1.40,2,,,,,,,,
1,,S1298 NPN 300V .1A Video Output,,,$3.50,,$0.50,$0.50,2,,,,,,,,
1,,TIP2955 PNP 100V 15A,,,,T/T,$3.60,$3.60,2,,,,,,,,
,,,,,,,$0.00,$0.00,2,,,,,,,,
1,,TIP30C PNP 100V 1A,,,,,$1.80,$1.80,2,,,,,,,,
2,,STP36NF06L N-channel MOSFET 60V 30A,$9.20,7/08/2015,$2.29,eBay,$0.00,$0.00,2,,,,,,,,
,,,,,,,$0.00,$0.00,2,,,,,,,,
,,,,,,,$0.00,$0.00,2,,,,,,,,
2,,TIP42C PNP 100V 6A,,,,D/S,$1.36,$2.72,2,,,,,,,,
3,,BUK452-60A MOSFET 60V 14A,,,$3.92,,$0.50,$1.50,2,,,,,,,,
0,,2N3055 NPN 100V 15A,,,,C&I,$0.99,$0.00,3,,,,,,,,
,,,,,,,$0.00,$0.00,3,,,,,,,,
1,,2N4347 NPN 140V 5A,,,,,$5.00,$5.00,3,,,,,,,,
1,,2N6242,,,,,$1.00,$1.00,3,,,,,,,,
6,,2N6609 PNP 160V 16A,$7.50,,$6.50,,$1.00,$6.00,3,,,,,,,,
4,,2SA757 PNP 120V 7A,,,$6.00,,$1.00,$4.00,3,,,,,,,,
,,,,,,,$0.00,$0.00,3,,,,,,,,
1,,2SC685A NPN 300V .1A,,,,,$4.00,$4.00,3,,,,,,,,
1,,2SC897 NPN 150V 7A,,,$6.00,,$1.00,$1.00,3,,,,,,,,
1,,2SD320 NPN 300V 2A,,,,,$4.00,$4.00,3,,,,,,,,
,,,,,,,$0.00,$0.00,3,,,,,,,,
,,,,,,,$0.00,$0.00,3,,,,,,,,
,,,,,,,$0.00,$0.00,3,,,,,,,,
,,,,,,,$0.00,$0.00,3,,,,,,,,
0,,MJ15003 NPN 140V 20A,,,$7.50,,$1.00,$0.00,3,,,,,,,,
5,,MJ15004 PNP 140V 20A,,,$7.50,,$1.00,$5.00,3,,,,,,,,
1,,MJ2955 PNP 60V 15A,,,,D/S,$3.89,$3.89,3,,,,,,,,
3,,MJ9615B,,,,,$1.00,$3.00,3,,,,,,,,
1,,113B,,,,,$0.80,$0.80,4,,,,,,,,
2,,130T,,,,,$0.15,$0.30,4,,,,,,,,
1,,132B,,,,,$0.80,$0.80,4,,,,,,,,
20,,RGP10D 200V 1A fast recovery,,,$0.47,eBay,$0.00,$0.00,4,,,,,,,,
88,,1N4007 1KV 1A,,,,,$0.07,$6.16,4,,,,,,,,
245,,1N4148,$0.10,16/05/2020,,eBay,$0.01,$2.45,4,,,,,,,,
35,,1N5408 1000V 3A,$0.75,16/04/2015,$0.06,eBay,$0.00,$0.00,4,,,,,,,,
1,,1N5624,,,,,$2.20,$2.20,4,,,,,,,,
1,,1S1658,,,,,$0.01,$0.01,4,,,,,,,,
1,,1S1660,,,,,$0.01,$0.01,4,,,,,,,,
21,,1N5404 diode 3A 400V,$0.55,23/10/2018,$0.10,eBay,$0.00,$4.54,4,,,,,,,,
8,,3B0A,,,,,$0.01,$0.08,4,,,,,,,,
4,,3B4J,,,,,$0.01,$0.04,4,,,,,,,,
1,,3B8J,,,,,$0.01,$0.01,4,,,,,,,,
1,,3E4 400V 3A,,,,,$0.62,$0.62,4,,,,,,,,
1,,6CC12,,,,,$0.01,$0.01,4,,,,,,,,
3,,72C Thermal,,,,,$2.50,$7.50,4,,,,,,,,
1,,AA14,,,,,$0.01,$0.01,4,,,,,,,,
1,,BA220,,,,,$0.01,$0.01,4,,,,,,,,
4,,BB119 Vcap 15-30pF HF,,,,Elcoma,$0.01,$0.04,4,,,,,,,,
4,,BB204B Vcap dual FM,,,,Elcoma,$0.01,$0.04,4,,,,,,,,
4,,BB809 Vcap 5-30pF VHF,,,,Elcoma,$0.01,$0.04,4,,,,,,,,
35,,BR305 50V 3A 50A-surge bridge,$1.20,,,C&I,$0.18,$6.30,4,,,,,,,,
1,R2KY,R2KY (R2M) 130V avalanche protection diode,$5.00,9/03/2005,$2.60,T/T,$2.60,$2.60,4,,,,,,,,
2,BY228,BY228 1500V 3A,,26/02/2007,$1.20,T/T,$1.20,$2.40,4,,,,,,,,
2,,BY229-800 8A sq 11A rms,,,,,$2.53,$5.06,4,,,,,,,,
9,,MBR10100CTL 10A 100V double diode Schottky TO-220,$1.80,21/07/2015,$0.44,eBay,$0.00,$0.00,4,,,,,,,,
2,,BYX42-1200,,,$5.00,,$1.00,$2.00,4,,,,,,,,
1,,BYX42-300R,,,,,$1.00,$1.00,4,,,,,,,,
3,,BYX55-350,,,$1.81,,$0.50,$1.50,4,,,,,,,,
10,,SR5200 (MBR5200) 200V 5A  Schottky diode,,6/03/2019,$0.16,eBay,$0.00,$0.00,4,,,,,,,,
1,,BZY61-C10,,,,,$0.82,$0.82,4,,,,,,,,
5,,KBPC3510 1kV 35A Bridge Rectifier,$9.00,10/08/2018,$1.00,eBay,$0.00,$0.00,4,,,,,,,,
13,,SR5100 100V 5A Schottky diode,$1.00,14/09/2016,$0.16,eBay,$0.00,$0.00,4,,,,,,,,
6,,EHT rectifier,,,,,$0.01,$0.06,4,,,,,,,,
45,,1N5388B Zener diode 200V 5W DO-15,$2.00,20/05/2016,$0.17,eBay,$0.00,$0.00,4,,,,,,,,
1,,SID30,,,,,$0.01,$0.01,4,,,,,,,,
1,,SKE2G,,,$3.63,Thorn,$0.00,$0.00,4,,,,,,,,
1,,TAA550,,,$2.43,,$0.00,$0.00,4,,,,,,,,
9,,UO7J & equivalent,,,$1.50,,$0.05,$0.45,4,,,,,,,,
54,,Vari-cap blue/white,,,,,$0.01,$0.54,4,,,,,,,,
1,,Z1W15 15V 1W zener,,,,,$0.70,$0.70,4,,,,,,,,
3,,zener 20V 1W 1N4747 BZX85C20,,,,,$0.57,$1.71,4,,,,,,,,
10,,GBU606 bridge 600V 6A (420V rms),,21/11/2013,$0.48,eBay,$0.00,$0.00,4,,,,,,,,
56,,zener 3V9,,,,,$0.08,$4.48,4,,,,,,,,
5,,"RF2001 T3D 20A(av) 300V (350V repetitive peak) fast recovery, dual diode, common cathode",$4.00,21/11/2016,$0.80,eBay,$0.00,$0.00,4,,,,,,,,
36,,P6KE120A Transient Voltage Suppressor Diode 102V,$2.00,6/05/2014,$0.15,eBay,$0.00,$0.00,4,,,,,,,,
8,,1N34A germanium point contact,$0.95,8/07/2020,$0.22,AliExpress,$0.00,$0.00,4,,,,,,,,
45,,1N34A germanium,$0.65,14/07/2020,$0.05,eBay,$0.00,$0.00,4,,,,,,,,
76,,zener 7V5,,,$0.30,,$0.05,$3.80,4,,,,,,,,
84,,zener 8V2,,,,,$0.08,$6.72,4,,,,,,,,
18,,RGP10D fast Recovery Rectifier Diode / Gleichrichter DO-41 DO-204AL 200V 1A ,,6/05/2014,$0.46,eBay,$0.00,$0.00,4,,,,,,,,
9,,zener 10V odds,,,$0.30,,$0.05,$0.45,4,,,,,,,,
,,,,,,,$0.00,$0.00,4,,,,,,,,
41,,zener 13V,,,,,$0.08,$3.28,4,,,,,,,,
0,,zener 15V 1N965B,,,,D/S,$0.16,$0.00,4,,,,,,,,
68,,16V zener,,,,,$0.08,$5.44,4,,,,,,,,
48,,P6KE51A Transient Voltage Suppressor Diode 43.6 V,$2.00,10/07/2015,$0.18,eBay,$0.00,$0.00,4,,,,,,,,
3,,SF5A400HD Ultrafast Recovery Rectifier 400V 5A (sm),$2.00,1/06/2018,$0.65,eBay,$0.00,$0.00,4,,,,,,,,
0,,zener 3V BZX79C3V0,,,$0.10,Philips,$0.05,$0.00,4,,,,,,,,
,,,,,,,$0.00,$0.00,5,,,,,,,,
,,,,,,,$0.00,$0.00,5,,,,,,,,
,,,,,,,$0.00,$0.00,5,,,,,,,,
,,,,,,,$0.00,$0.00,5,,,,,,,,
9,,CD4006,,,$2.73,,$0.50,$4.50,5,,,,,,,,
,,,,,,,$0.00,$0.00,5,,,,,,,,
2,,CD4009,,,,,$2.00,$4.00,5,,,,,,,,
5,,CD4010,,,,,$1.28,$6.40,5,,,,,,,,
,,,,,,,$0.00,$0.00,5,,,,,,,,
15,,CD4010 (HCF),,,,Henlynn,$0.34,$5.10,5,,,,,,,,
20,,,,,,,$0.00,$0.00,5,,,,,,,,
20,,CD4011 ,,12/03/2019,$0.18,eBay,$0.00,$0.00,5,,,,,,,,
25,,CD4012,,,$1.80,,$0.20,$5.00,5,,,,,,,,
,,,,,,,$0.00,$0.00,5,,,,,,,,
27,,CD4013 (HCF),,,,Henlynn,$0.22,$5.94,5,,,,,,,,
4,,CD4016,,,,,$2.16,$8.64,5,,,,,,,,
10,,CD40160,,,$3.13,,$0.50,$5.00,5,,,,,,,,
4,,CD4030,$1.65,1/08/2014,$0.54,eBay,$0.00,$0.00,5,,,,,,,,
15,,CD40174 (HCF),,,,Henlynn,$0.44,$6.60,5,,,,,,,,
2,,CD4020,,,$3.00,,$0.50,$1.00,5,,,,,,,,
9,,CD4022,,,$1.79,,$0.20,$1.80,5,,,,,,,,
17,,CD4023,,,$1.68,,$0.50,$8.50,5,,,,,,,,
1,,CD4024,,,,,$2.40,$2.40,5,,,,,,,,
2,,CD4025,,,,,$2.00,$4.00,5,,,,,,,,
2,,CD4027,,,,,$2.28,$4.56,5,,,,,,,,
13,,CD4028,,,$2.22,,$0.50,$6.50,5,,,,,,,,
30,,CD4043BE,,20/03/2020,$0.78,eBay,$0.78,$23.40,5,,,,,,,,
22,,CD4040,,,$3.18,,$0.20,$4.40,5,,,,,,,,
3,,CD4041,,,$2.73,,$0.50,$1.50,5,,,,,,,,
20,,CD4042,,,$1.16,,$0.20,$4.00,5,,,,,,,,
0,,,,,,,$0.00,$0.00,5,,,,,,,,
17,,CD40106,$1.20,8/07/2020,$0.13,eBay,$0.13,$2.21,5,,,,,,,,
21,,CD4044 (HEF),,,$0.74,Philips,$0.20,$4.20,5,,,,,,,,
9,,CD4047,,,$4.50,,$0.50,$4.50,5,,,,,,,,
9,,CD4049,,,$2.10,,$0.50,$4.50,5,,,,,,,,
,,,,,,,$0.00,$0.00,5,,,,,,,,
49,,CD4050 (HCF),,,,Henlynn,$0.30,$14.70,5,,,,,,,,
25,,CD4052 (HCF),,,,Henlynn,$0.47,$11.75,5,,,,,,,,
5,,CD4053 (HCF),,,,KJP,$2.43,$12.15,5,,,,,,,,
7,,CD4060 ,,13/01/2016,$0.25,eBay,$0.00,$0.00,5,,,,,,,,
22,,CD4066 (HCF),,,,Henlynn,$0.32,$7.04,5,,,,,,,,
46,,CD4066 HEF4066,,,$0.50,Elcoma,$0.20,$9.20,5,,,,,,,,
25,,CD4066 (HCF),,,$0.42,Henlynn,$0.20,$5.00,5,,,,,,,,
6,,CD4069,,,$1.68,,$0.50,$3.00,5,,,,,,,,
24,,CD4070 (HCF),,,,Henlynn,$0.21,$5.04,5,,,,,,,,
25,,CD4071 (HCF),,,,Henlynn,$0.21,$5.25,5,,,,,,,,
2,,CD4071,,,,,$1.50,$3.00,5,,,,,,,,
4,,CD4072,,,,,$0.78,$3.12,5,,,,,,,,
,,,,,,,$0.00,$0.00,5,,,,,,,,
32,,CD4075,,,$2.00,,$0.20,$6.40,5,,,,,,,,
21,,CD4081,,,$2.40,,$0.20,$4.20,5,,,,,,,,
25,,CD4082 (HCF),,,,Henlynn,$0.21,$5.25,5,,,,,,,,
7,,CD4082,,,,,$0.90,$6.30,5,,,,,,,,
1,,CD4082 see bulk,,,,,$0.01,$0.01,5,,,,,,,,
4,,CD4030,$1.65,1/08/2014,$0.53,eBay,$0.00,$0.00,5,,,,,,,,
4,,CD4510,,,,,$2.00,$8.00,5,,,,,,,,
25,,CD4511 (HCF),,,$0.56,Henlynn,$0.20,$5.00,5,,,,,,,,
6,,CD4511 HEF4511,,,,Elcoma,$0.89,$5.34,5,,,,,,,,
15,,CD4512 (HCF),,,,Henlynn,$0.49,$7.35,5,,,,,,,,
2,,CD4514 (HEF),,,$3.14,Elcoma,$0.50,$1.00,5,,,,,,,,
13,,CD4516 (HEF),,,$0.99,Elcoma,$0.20,$2.60,5,,,,,,,,
1,,CD4521,$4.20,6/08/2014,$1.46,eBay,$0.00,$0.00,5,,,,,,,,
1,,AH0014 see bulk,,,,,$0.01,$0.01,6,,,,,,,,
1,,CA3052 see bulk,,,,,$0.01,$0.01,6,,,,,,,,
3,,TA7317P protection circuit for amplifier,$6.50,14/04/2015,$2.52,eBay,$0.00,$0.00,6,,,,,,,,
1,,AN6652 - turntable motor control IC,$3.50,19/12/2014,$0.50,eBay,$0.00,$0.00,6,,,,,,,,
8,,MC4044P Frequency Phase Detector,$4.50,3/03/2017,$1.69,eBay,$0.00,$0.00,6,,,,,,,,
1,,CA3140 BIMOS op amp,,,,,$2.00,$2.00,6,,,,,,,,
2,,DM7402,,,,,$0.88,$1.76,6,,,,,,,,
8,,FUA796 see bulk,,,,,$0.01,$0.08,6,,,,,,,,
4,,ICL8038 wave gen VCO,$10.00,10/03/2016,$0.72,eBay,$0.00,$0.00,6,,,,,,,,
1,,ICL8049 antilog amp,,,$8.00,,$0.50,$0.50,6,,,,,,,,
1,,LB1405,,,,,$4.60,$4.60,6,,,,,,,,
1,,LB1416,,,,,$4.29,$4.29,6,,,,,,,,
2,,LB1426,,,,,$4.86,$9.72,6,,,,,,,,
2,,LD3150,,,,,$3.00,$6.00,6,,,,,,,,
1,,LF351 see bulk,,,,,$0.01,$0.01,6,,,,,,,,
10,,LF351N JFET input op amp,,,$1.16,,$0.10,$1.00,6,,,,,,,,
1,,796 HCG see bulk,,,,,$0.01,$0.01,6,,,,,,,,
1,,LF355 1 in stock plus see bulk,,,,,$2.00,$2.00,6,,,,,,,,
2,,LM1496 ,$3.00,8/10/2020,$0.72,eBay,$0.72,$1.44,6,,,,,,,,
6,,LM301 op amp,,,,,$1.02,$6.12,6,,,,,,,,
7,,LM3075 FM DET/LIM+AUD preamp see bulk,,,$2.00,,$0.20,$1.40,6,,,,,,,,
9,,ULN2003A Darlington Transistor Array SM,$1.00,21/11/2016,$0.13,eBay,$0.00,$0.00,6,,,,,,,,
3,,LM3086N see bulk,,,,,$0.01,$0.03,6,,,,,,,,
2,,LM311N comparator,,,,Elcoma,$1.11,$2.22,6,,,,,,,,
3,,LM319 dual comp,,,$2.70,,$0.20,$0.60,6,,,,,,,,
7,,LM324 quad op amp,,,$0.22,eBay,$0.00,$0.00,6,,,,,,,,
1,,LM324 see bulk,,,,,$0.01,$0.01,6,,,,,,,,
1,,?A733PC,$10.00,27/01/2010,$9.00,eBay,$0.00,$0.00,6,,,,,,,,
5,,LM3401 (CA3401) quad amp,,,$2.60,,$0.20,$1.00,6,,,,,,,,
1,,LM3900 quad amp see bulk - used,,,,,$0.00,$0.00,6,,,,,,,,
7,,LM380 audio power amp,,,$3.54,,$0.50,$3.50,6,,,,,,,,
2,,LM381 dual preamp,,,$4.58,,$0.50,$1.00,6,,,,,,,,
2,,LM384 5W power amp,,,$4.71,,$0.50,$1.00,6,,,,,,,,
4,,LM387 dual preamp,,,$3.43,,$0.50,$2.00,6,,,,,,,,
5,,74HCT4094D,$6.00,6/09/2018,$3.00,eBay,$0.00,$0.00,6,,,,,,,,
1,,74HCT4094E,$7.00,1/09/2018,$9.00,eBay,$0.00,$0.00,6,,,,,,,,
2,,LM3905 timer,,,,,$2.82,$5.64,6,,,,,,,,
1,,LM3909 LED flasher,,,$4.45,DJR,$0.50,$0.50,6,,,,,,,,
2,,LM3915 (in a mixed bag),,,,,$0.00,$0.00,6,,,,,,,,
7,,LM358MX surface mount,$3.00,19/10/2020,$0.72,eBay,$0.72,$5.04,6,,,,,,,,
2,,ULN2803AG SOP18 IC Darlington transistor array SM,$1.50,12/01/2016,,eBay,$0.00,$0.00,6,,,,,,,,
10,,LM555 timer,$0.65,4/10/2016,$0.15,eBay,$0.00,$0.00,6,,,,,,,,
1,,LM709 op amp,,,,,$0.84,$0.84,6,,,,,,,,
1,,LM723 2V-37V 150mA reg,,,,D/S,$1.58,$1.58,6,,,,,,,,
5,,LM725 op amp,,,$8.47,,$0.50,$2.50,6,,,,,,,,
65,,LM741 & UA741 op amp,,,$0.52,,$0.10,$6.50,6,,,,,,,,
4,,LM747 dual op amp,,,$2.52,,$0.50,$2.00,6,,,,,,,,
1,,MC1350,,,$1.80,,$0.50,$0.50,6,,,,,,,,
8,,MC1458 see bulk,,,,,$0.01,$0.08,6,,,,,,,,
2,,MC4741 see bulk,,,,,$0.01,$0.02,6,,,,,,,,
101,,MD8002 dual transistor NPN 50V 30mA TO-99 - old stock,$2.50,,,,$0.01,$1.01,6,,,,,,,,
1,,MM5*15N Nat see bulk,,,,,$0.01,$0.01,6,,,,,,,,
4,,NE5205N 20dB 550mHz,,,$7.33,Elcoma,$0.50,$2.00,6,,,,,,,,
1,,NE556N dual timer,,,,,$2.43,$2.43,6,,,,,,,,
1,,RC4136 with a cut pin,,,,,$3.20,$3.20,6,,,,,,,,
,,,,,,,$0.00,$0.00,6,,,,,,,,
6,,TDA1022,,,$5.50,,$0.50,$3.00,6,,,,,,,,
,,,,,,,$0.00,$0.00,6,,,,,,,,
1,,TL074 quad JFET op amp,,,$1.80,,$0.50,$0.50,6,,,,,,,,
5,,UA734 metal,,,$2.00,,$0.10,$0.50,6,,,,,,,,
2,,UA777,,,,,$2.00,$4.00,6,,,,,,,,
31,,XR4741 quad op amp,,,$1.43,Prof Elec,$0.20,$6.20,6,,,,,,,,
3,,TNY176PN - switch mode P/S,$4.00,10/11/2016,$0.50,eBay,$0.00,$0.00,7,,,,,,,,
