Count,Code,Description,Retail,Date,Cost,Supplier,Book,Total,Category,,,,,,,,
36,,27k ohm 1/4 watt metal,,,,,$0.02,$0.72,13,,,,,,,,
5,,18 ohm 1/4 watt,,,,,$0.02,$0.10,13,,,,,,,,
8,,2.2k ohm 1/4 watt,,,,,$0.02,$0.16,13,,,,,,,,
44,,2.4k ohm 1/4 watt,,,,,$0.02,$0.88,13,,,,,,,,
188,,2.7k ohm 1/4 watt,,,,,$0.02,$3.76,13,,,,,,,,
45,,2.2m ohm 1/4 watt,,,,,$0.02,$0.90,13,,,,,,,,
100,,270k ohm 1/4 watt metal,,11/06/2016,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
180,,30k ohm 1/4 watt,,,,,$0.02,$3.60,13,,,,,,,,
0,,33 ohm 1/4 watt metal,,,,eBay,$0.00,$0.00,13,,,,,,,,
80,,330 ohm 1/4 watt metal,,22/11/2018,,eBay,$0.00,$0.00,13,,,,,,,,
2,,330k ohm 1/4 watt metal,,,,,$0.02,$0.04,13,,,,,,,,
106,,330k ohm 1/4 watt,,,,,$0.02,$2.12,13,,,,,,,,
199,,330k ohm 1/4 watt,,,,,$0.02,$3.98,13,,,,,,,,
18,,33k ohm 1/4 watt,,,,,$0.02,$0.36,13,,,,,,,,
"1,783",,33k ohm 1/4 watt metal,,,,,$0.02,$35.66,13,,,,,,,,
89,,36k ohm 1/4 watt,,,,,$0.02,$1.78,13,,,,,,,,
80,,39 ohm 1/4 watt metal,,6/09/2014,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
84,,390 ohm 1/4 watt metal,,19/11/2015,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
16,,390k ohm 1/4 watt,,,,,$0.02,$0.32,13,,,,,,,,
962,,39k ohm 1/4 watt,,,,,$0.01,$9.62,13,,,,,,,,
61,,3.3k ohm 1/4 watt,,,,,$0.02,$1.22,13,,,,,,,,
840,,3.3k ohm 1/4 watt,,,,,$0.02,$16.80,13,,,,,,,,
74,,3.9k ohm 1/4 watt (some used),,,,,$0.02,$1.48,13,,,,,,,,
12,,4.7 ohm 1/4 watt,,,,,$0.02,$0.24,13,,,,,,,,
7,,47 ohm 1/4 watt,,,,,$0.02,$0.14,13,,,,,,,,
461,,470 ohm 1/4 watt,,,,,$0.01,$4.61,13,,,,,,,,
197,,470k ohm 1/4 watt metal,$0.05,4/11/2015,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
329,,47k ohm 1/3 watt metal,,,,,$0.02,$6.58,13,,,,,,,,
198,,4.3k ohm 1/4 watt,,,,,$0.02,$3.96,13,,,,,,,,
149,,4.7k ohm 1/4 watt metal,,10/11/2015,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
7,R1164,4.7m ohm 1/4 watt,,,,D/S,$0.08,$0.56,13,,,,,,,,
8,,5.6 ohm 1/4 watt,,,,,$0.02,$0.16,13,,,,,,,,
103,,510 ohm 1/4 watt,,,,,$0.02,$2.06,13,,,,,,,,
180,,510k ohm 1/4 watt,,,,,$0.02,$3.60,13,,,,,,,,
3,,56 ohm 1/4 watt,,,,,$0.02,$0.06,13,,,,,,,,
73,,56 ohm 1/4 watt metal,,12/02/2014,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
100,,1.2k 1/4 watt metal,,24/04/2019,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
409,,560k ohm 1/4 watt,,,,,$0.02,$8.18,13,,,,,,,,
8,,56k ohm 1/4 watt,,,,,$0.02,$0.16,13,,,,,,,,
76,,56k ohm 1/4 watt metal,,,,,$0.02,$1.52,13,,,,,,,,
188,,5.1k ohm 1/4 watt,,,,,$0.02,$3.76,13,,,,,,,,
40,,5.6k ohm 1/4 watt metal,,31/12/2014,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
950,,5.1m ohm 1/4 watt,,,,,$0.01,$9.50,13,,,,,,,,
1,,5.6m ohm 1/4 watt,,,,,$0.02,$0.02,13,,,,,,,,
200,,620k ohm 1/4 watt,,,,,$0.02,$4.00,13,,,,,,,,
80,,68.1 ohm metal   1/4 watt,,15/02/2014,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
11,,680 ohm 1/4 watt - some used,,,,,$0.02,$0.22,13,,,,,,,,
,,,,,,,$0.00,$0.00,13,,,,,,,,
97,,680k ohm 1/4 watt metal,,,,,$0.02,$1.94,13,,,,,,,,
8,,680k ohm 1/4 watt,,,,,$0.02,$0.16,13,,,,,,,,
53,,68k ohm 1/4 watt,,,,,$0.02,$1.06,13,,,,,,,,
66,,68k ohm 1/4 watt metal,,,,,$0.02,$1.32,13,,,,,,,,
